Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total (EUR),Stamp duty reserve tax (EUR),ID,French transaction tax,Currency conversion fee (EUR)
Market buy,2021-01-05 16:07:21,CH0012221716,ABBN,"ABB",1.5966270000,25.35,CHF,1.07932,37.50,,EOF750825285,,
Market buy,2021-01-05 16:07:21,NL0010273215,ASML,"ASML Holding",0.0861856000,406.10,EUR,1.00000,35.00,,EOF750825289,,
Market buy,2021-01-05 16:07:22,GB0009895292,AZN,"AstraZeneca",0.4549350100,7402.00,GBX,90.24708,37.50,0.19,EOF750825302,,
Market buy,2021-01-05 16:07:29,FR0000121014,MC,"LVMH",0.0691543000,504.60,EUR,1.00000,35.00,,EOF750825348,0.10,
Market buy,2021-01-05 16:07:31,DE0007164600,SAP,"SAP SE",0.3328894000,105.14,EUR,1.00000,35.00,,EOF750825360,,
Market buy,2021-01-05 16:07:34,NL0012969182,ADYEN,"Adyen NV",0.0192572200,1817.50,EUR,1.00000,35.00,,EOF750825381,,
Market buy,2021-01-05 16:08:04,GB00BH4HKS39,VOD,"Vodafone Group",25.3994973000,123.74,GBX,90.24705,35.00,0.17,EOF750825643,,
Market buy,2021-02-01 15:03:37,IE00B3XXRP09,VUSA,"Vanguard S&P 500 ETF",0.2913830000,51.80,GBP,0.88414,17.07,,EOF947672878,,
Market buy,2021-02-01 15:03:37,IE00B1XNHC34,INRG,"iShares Global Clean Energy",1.1986339100,1259.00,GBX,88.40537,17.07,,EOF947672872,,
Market buy,2021-02-01 15:03:56,DE0007164600,SAP,"SAP SE",0.0985730000,106.52,EUR,1.00000,10.50,,EOF947674804,,
Market buy,2021-02-01 15:03:56,NL0012969182,ADYEN,"Adyen NV",0.0059726900,1758.00,EUR,1.00000,10.50,,EOF947674801,,
Market buy,2021-02-01 15:03:57,FR0000121014,MC,"LVMH",0.0206969000,505.80,EUR,1.00000,10.50,,EOF947674849,0.03,
Market buy,2021-02-01 15:03:57,GB00BH4HKS39,VOD,"Vodafone Group",7.3526389000,125.62,GBX,88.40539,10.50,0.05,EOF947674813,,
Market buy,2021-02-01 15:03:58,GB0009895292,AZN,"AstraZeneca",0.1328160700,7451.00,GBX,88.40537,11.25,0.06,EOF947674863,,
Market buy,2021-02-01 15:03:59,CH0012221716,ABBN,"ABB",0.4584510000,26.55,CHF,1.08194,11.25,,EOF947674902,,
Market buy,2021-02-01 15:03:59,NL0010273215,ASML,"ASML Holding",0.0231685000,453.20,EUR,1.00000,10.50,,EOF947674905,,
Market buy,2021-02-01 15:04:10,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield",0.3771220000,41.22,GBP,0.88413,17.58,,EOF947676308,,
Market buy,2021-02-01 15:04:11,US00206R1023,T,"AT&T",0.3870770000,28.43,USD,1.20930,9.10,,EOF947676394,,
Market buy,2021-02-01 15:04:11,US7170811035,PFE,"Pfizer",0.3066200000,35.89,USD,1.20930,9.10,,EOF947676378,,
Market buy,2021-02-01 15:04:11,US0378331005,AAPL,"Apple",0.0972268000,132.09,USD,1.20929,10.62,,EOF947676381,,
Market buy,2021-02-01 15:04:11,US11135F1012,AVGO,"Broadcom ",0.0240537000,457.50,USD,1.20929,9.10,,EOF947676370,,
Market buy,2021-02-01 15:04:11,US7427181091,PG,"Procter & Gamble",0.0856122000,128.54,USD,1.20929,9.10,,EOF947676375,,
Market buy,2021-02-01 15:04:12,US8356993076,SONY,"Sony Group",0.1127630000,97.59,USD,1.20929,9.10,,EOF947676420,,
Market buy,2021-02-01 15:04:12,US1912161007,KO,"Coca-Cola",0.2656740000,48.34,USD,1.20929,10.62,,EOF947676426,,
Market buy,2021-02-01 15:05:02,GB00BYN59130,DOM,"Domino's Pizza Group",2.4096529000,332.20,GBX,88.40537,9.10,0.05,EOF947681001,,
Market buy,2021-02-01 15:05:09,US4491091074,HYLN,"Hyliion Holdings",0.0855300000,16.40,USD,1.20925,1.16,,EOF948232176,,
Market buy,2021-02-24 08:07:26,IE00B3XXRP09,VUSA,"Vanguard S&P 500 ETF",0.5447360000,51.92,GBP,0.85696,33.00,,EOF1105948074,,
Market buy,2021-02-24 08:07:28,IE00B1XNHC34,INRG,"iShares Global Clean Energy",2.6669320100,1060.50,GBX,85.70551,33.00,,EOF1105948101,,
Market buy,2021-02-24 08:07:46,NL0010273215,ASML,"ASML Holding",0.0147554000,474.40,EUR,1.00000,7.00,,EOF1105948187,,
Market buy,2021-02-24 08:07:46,GB0009895292,AZN,"AstraZeneca",0.0909801100,7030.00,GBX,85.70507,7.50,0.04,EOF1105948181,,
Market buy,2021-02-24 08:07:46,DE0007164600,SAP,"SAP SE",0.0683193000,102.46,EUR,1.00000,7.00,,EOF1105948178,,
Market buy,2021-02-24 08:07:46,FR0000121014,MC,"LVMH",0.0129552000,538.70,EUR,1.00000,7.00,,EOF1105948184,0.02,
Market buy,2021-02-24 08:07:48,IE00B8GKDB10,VHYL,"Vanguard FTSE All-World High Dividend Yield",0.6978060000,41.76,GBP,0.85696,34.00,,EOF1105948194,,
Market buy,2021-02-24 08:07:50,CH0012221716,ABBN,"ABB",0.3109110000,26.56,CHF,1.10103,7.50,,EOF1105948207,,
Market buy,2021-02-24 08:07:52,NL0012969182,ADYEN,"Adyen NV",0.0034860500,2008.00,EUR,1.00000,7.00,,EOF1105948226,,
Market buy,2021-02-24 08:07:52,GB00BH4HKS39,VOD,"Vodafone Group",4.6032611000,129.68,GBX,85.70507,7.00,0.03,EOF1105948223,,
Market buy,2021-02-24 08:07:56,GB00BYN59130,DOM,"Domino's Pizza Group",3.2694777000,319.00,GBX,85.70552,12.23,0.06,EOF1105948244,,
Market buy,2021-02-24 14:30:11,US1912161007,KO,"Coca-Cola",0.3433680000,50.38,USD,1.21311,14.26,,EOF1106888012,,
Market buy,2021-02-24 14:30:12,US7427181091,PG,"Procter & Gamble",0.1165551000,127.29,USD,1.21311,12.23,,EOF1106888858,,
Market buy,2021-02-24 14:30:16,US11135F1012,AVGO,"Broadcom ",0.0315699000,469.95,USD,1.21311,12.23,,EOF1106890461,,
Market buy,2021-02-24 14:30:18,US8356993076,SONY,"Sony Group",0.1368283000,108.43,USD,1.21311,12.23,,EOF1106891926,,
Market buy,2021-02-24 14:30:24,US00206R1023,T,"AT&T",0.5072230000,29.25,USD,1.21310,12.23,,EOF1106894050,,
Market buy,2021-02-24 14:30:24,US0378331005,AAPL,"Apple",0.1383358000,125.05,USD,1.21311,14.26,,EOF1106893926,,
Market buy,2021-02-24 14:32:22,US7170811035,PFE,"Pfizer",0.4379070000,33.88,USD,1.21311,12.23,,EOF1106898340,,
Market buy,2021-04-13 12:02:41,CH0012221716,ABBN,"ABB",0.2959700000,29.06,CHF,1.09987,7.83,,EOF1276824394,,0.01
Market buy,2021-04-13 12:02:45,DE0007164600,SAP,"SAP SE",0.0656820000,111.14,EUR,1.00000,7.30,,EOF1276824404,,
Market buy,2021-04-13 12:02:45,GB00BH4HKS39,VOD,"Vodafone Group",4.7063748000,133.54,GBX,86.64362,7.30,0.04,EOF1276824401,,0.01
Market buy,2021-04-13 12:02:45,NL0010273215,ASML,"ASML Holding",0.0137968000,529.10,EUR,1.00000,7.30,,EOF1276824398,,
Market buy,2021-04-13 12:02:54,FR0000121014,MC,"LVMH",0.0122837000,592.50,EUR,1.00000,7.30,,EOF1276824411,0.02,
Market buy,2021-04-13 12:03:01,GB0009895292,AZN,"AstraZeneca",0.0938972100,7180.00,GBX,86.64362,7.83,0.04,EOF1276824414,,0.01
Market buy,2021-04-13 12:03:17,NL0012969182,ADYEN,"Adyen NV",0.0036972700,1974.40,EUR,1.00000,7.30,,EOF1276824436,,
Market buy,2021-04-13 12:14:07,GB00BYN59130,DOM,"Domino's Pizza Group",1.6536181000,350.40,GBX,86.65549,6.73,0.03,EOF1276825426,,0.01
Market buy,2021-04-13 13:30:10,US81141R1005,SE,"Sea Limited",0.0218618000,245.02,USD,1.19301,4.50,,EOF1276834735,,0.01
Market buy,2021-04-13 13:30:10,US3383071012,FIVN,"Five9",0.0200033000,178.92,USD,1.19301,3.00,,EOF1276834825,,
Market buy,2021-04-13 13:30:11,CA1366351098,CSIQ,"Canadian Solar",0.1238520000,43.25,USD,1.19301,4.50,,EOF1276835793,,0.01
Market buy,2021-04-13 13:30:12,US5533681012,MP,"MP Materials",0.1023740000,34.96,USD,1.19301,3.00,,EOF1276836070,,
Market buy,2021-04-13 13:30:12,US7427181091,PG,"Procter & Gamble",0.0588101000,136.32,USD,1.19301,6.73,,EOF1276836112,,0.01
Market buy,2021-04-13 13:30:12,US29786A1060,ETSY,"Etsy",0.0159783000,223.99,USD,1.19301,3.00,,EOF1276836151,,
Market buy,2021-04-13 13:30:12,US1912161007,KO,"Coca-Cola",0.1761090000,53.11,USD,1.19301,7.85,,EOF1276836367,,0.01
Market buy,2021-04-13 13:30:13,US69608A1088,PLTR,"Palantir",0.1540010000,23.24,USD,1.19302,3.00,,EOF1276836920,,
